Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
Hot Rod Hearts,Robbie Dupree,3:41,4,0.601,0.487,7,-11.119,1,0.0335,0.334,0.0000016,0.315,0.674,118.371,45,1980
No More Tears (ENOUGH Is Enough),Barbra Streisand & Donna Summer,4:42,4,0.502,0.646,2,-8.235,0,0.0799,0.508,0.0000708,0.32,0.261,135.209,45,1980
Let Me Love You Tonight,Pure Prairie League,2:47,4,0.461,0.454,10,-12.352,1,0.0488,0.404,0,0.0657,0.703,104.556,44,1980
Hold On To My Love,Jimmy Ruffin,3:26,4,0.598,0.816,4,-7.535,1,0.0487,0.179,0,0.337,0.931,156.788,43,1980
I’m Alright,Kenny Loggins,4:35,4,0.416,0.905,9,-5.478,1,0.0625,0.00000348,0.187,0.237,0.252,115.031,42,1980
Let’s Get Serious,Jermaine Jackson,4:06,4,0.759,0.515,10,-9.74,0,0.0314,0.696,0.76,0.0932,0.794,106.052,40,1980
Breakdown Dead Ahead,Boz Scaggs,4:37,4,0.585,0.762,7,-9.888,1,0.0416,0.196,0.00221,0.259,0.459,145.92,39,1980
With You I’m Born Again,Billy Preston and Syreeta,3:40,3,0.325,0.343,10,-10.633,1,0.034,0.838,0.0000718,0.121,0.327,81.274,39,1980
Send One Your Love,Stevie Wonder,4:02,4,0.624,0.358,0,-17.456,0,0.0814,0.715,0.0000125,0.0862,0.418,72.841,38,1980
Cupid/I’ve Loved You For A Long Time,The Spinners,3:55,4,0.759,0.803,9,-6.036,1,0.0386,0.392,0,0.144,0.877,122.824,36,1980
Special Lady,"Ray, Goodman & Brown",4:12,4,0.551,0.447,9,-12.293,1,0.0401,0.463,0.00000373,0.189,0.558,84.175,36,1980
Never Knew Love Like This Before,Stephanie Mills,5:28,4,0.683,0.774,11,-6.736,1,0.0337,0.483,0.000016,0.0673,0.742,113.15,31,1980
Take Your Time (DO It Right),The SOS Band,3:29,4,0.917,0.489,0,-5.417,1,0.0569,0.134,0,0.0664,0.603,118.12,30,1980
You’re Only Lonely,J.D. Souther,3:54,4,0.652,0.442,9,-5.871,1,0.0248,0.617,0.0000624,0.118,0.571,108.97,29,1980
Pilot Of The Airwaves,Charlie Dore,3:46,4,0.625,0.408,0,-12.627,1,0.0385,0.478,0,0.164,0.604,119.259,28,1980
"Another Brick In The Wall, Part Ii",Pink Floyd,4:14,4,0.618,0.632,0,-5.973,1,0.0253,0.0186,0.00895,0.145,0.806,98.745,10,1980
Romeo’s Tune,Steve Forbert,3:30,4,0.584,0.712,9,-5.826,1,0.0295,0.406,0.00864,0.292,0.711,95.023,4,1980
I’m Coming Out (#5*),Diana Ross,3:43,4,0.728,0.77,11,-10.534,0,0.0961,0.0413,0.000681,0.226,0.81,116.212,1,1980
Brass In Pocket (I’M Special),The Pretenders,1:51,1,0.209,0.353,4,-16.722,1,0.0523,0.569,0.147,0.118,0.0287,162.817,0,1980
Don’t Fall In Love With A Dreamer,Kenny Rogers & Kim Carnes,3:40,4,0.406,0.38,9,-12.516,1,0.0271,0.00199,0.863,0.125,0.215,159.918,0,1980
You’re The Only Woman (YOU & I),Ambrosia,1:41,4,0.91,0.0332,9,-16.874,0,0.465,0.642,0.931,0.1,0.255,126.006,0,1980
Together,Tierra,2:28,4,0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.969,92,1981
I Love You,Climax Blues Band,2:40,4,0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,88,1981
Time,The Alan Parsons Project,3:49,4,0.721,0.802,1,-5.797,1,0.0583,0.0921,0,0.694,0.724,124.022,85,1981
Woman,John Lennon,2:52,4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,84,1981
You Make My Dreams,Daryl Hall & John Oates,3:10,4,0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,84,1981
Elvira,The Oak Ridge Boys,3:16,3,0.76,0.711,1,-6.966,1,0.0646,0.0812,0,0.0921,0.798,128.134,83,1981
Guilty,Barbra Streisand & Barry Gibb,4:14,3,0.626,0.428,2,-8.374,1,0.0261,0.607,0,0.0921,0.487,94.95,82,1981
Passion,Rod Stewart,4:58,4,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,82,1981
America,Neil Diamond,3:38,4,0.57,0.678,6,-5.629,1,0.0598,0.0309,0.00000992,0.104,0.358,137.581,81,1981
9 To 5,Dolly Parton,2:42,4,0.554,0.783,6,-5.852,1,0.0457,0.416,0.00000154,0.631,0.813,105.39,80,1981
Hearts,Marty Balin,3:30,4,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,79,1981
Start Me Up,the Rolling Stones,3:33,4,0.631,0.932,5,-4.142,1,0.0354,0.0429,0.137,0.0918,0.971,122.431,79,1981
Bette Davis Eyes,Kim Carnes,3:48,4,0.675,0.649,5,-10.271,1,0.0319,0.0204,0,0.0959,0.596,116.62,78,1981
Physical,Olivia Newton-John,3:13,4,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,78,1981
Lady,Kenny Rogers,3:03,4,0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,76,1981
Keep On Loving You,REO Speedwagon,3:20,4,0.306,0.722,0,-5.963,1,0.034,0.0519,0,0.117,0.41,174.732,75,1981
Slow Hand,The Pointer Sisters,3:08,4,0.735,0.425,0,-6.648,1,0.0464,0.011,0,0.055,0.848,85.896,75,1981
The Winner Takes It All,ABBA,4:54,4,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,75,1981
Crying,Don McLean,2:53,4,0.627,0.796,10,-5.192,1,0.08,0.116,0,0.109,0.33,125.99,74,1981
"De Do Do Do, De Da Da Da",The Police,2:55,4,0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.329,0.419,89.929,74,1981
Just The Two Of Us,"Grover Washington, Jr. & Bill Withers",7:18,4,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,74,1981
Another One Bites The Dust,Queen,3:34,4,0.932,0.528,5,-6.472,0,0.161,0.115,0.329,0.163,0.757,109.975,74,1981
Hungry Heart,Bruce Springsteen,3:19,4,0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,72,1981
Rapture,Blondie,2:44,4,0.72,0.679,0,-5.385,0,0.036,0.00693,0.846,0.1,0.29,105.005,72,1981
Hit Me With Your Best Shot,Pat Benatar,2:51,4,0.741,0.58,4,-9.05,1,0.0304,0.117,0.0000361,0.212,0.944,127.402,71,1981
Waiting For A Girl Like You,Foreigner,4:52,4,0.33,0.469,10,-9.286,0,0.0335,0.31,0.0000023,0.0402,0.433,201.327,71,1981
Celebration,Kool & the Gang,4:58,4,0.886,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.631,70,1981
Hold On Tight,Electric Light Orchestra,2:29,4,0.586,0.816,7,-6.331,1,0.283,0.0911,0.00000281,0.235,0.265,119.8,70,1981
Private Eyes,Daryl Hall & John Oates,3:37,4,0.85,0.938,9,-6.889,0,0.0415,0.409,0.000346,0.0582,0.84,120.826,67,1981
Sweetheart,Franke and the Knockouts,3:18,4,0.587,0.71,1,-5.453,1,0.0254,0.0837,0.0000568,0.138,0.28,134.992,67,1981
Take It On The Run,REO Speedwagon,3:59,4,0.371,0.758,7,-5.679,1,0.036,0.0958,0,0.116,0.452,77.81,67,1981
Time Is Time,Andy Gibb,3:06,4,0.306,0.873,0,-3.668,0,0.0567,0.00105,0,0.52,0.452,198.387,66,1981
Here I Am (JUST When I Thought I Was Over You),Air Supply,3:50,4,0.344,0.466,0,-8.453,1,0.0255,0.534,0.0000161,0.569,0.132,137.974,65,1981
Angel Of The Morning,Juice Newton,4:10,4,0.452,0.313,8,-9.309,1,0.026,0.433,0.000026,0.0772,0.344,75.806,63,1981
Every Woman In The World,Air Supply,3:29,4,0.393,0.312,9,-16.918,1,0.0366,0.307,0,0.134,0.362,156.361,63,1981
Hey Nineteen,Steely Dan,5:09,4,0.936,0.249,2,-18.341,1,0.0641,0.0374,0.00452,0.0631,0.822,119.986,63,1981
I Love A Rainy Night,Eddie Rabbitt,3:11,4,0.685,0.718,0,-7.724,1,0.0521,0.122,0,0.0556,0.958,131.463,63,1981
Kiss On My List,Daryl Hall & John Oates,4:24,4,0.815,0.741,0,-9.478,1,0.031,0.434,0.115,0.0689,0.965,121.221,63,1981
Stop Draggin’ My Heart Around,Stevie Nicks with Tom Petty & the Heartbreakers,4:04,4,0.631,0.597,4,-7.382,0,0.026,0.379,0.00273,0.146,0.665,107.26,63,1981
Morning Train (NINE To Five),Sheena Easton,3:20,4,0.76,0.556,5,-8.872,0,0.0817,0.63,0,0.148,0.817,121.818,61,1981
Tell It Like It Is,Heart,2:42,3,0.644,0.375,2,-10.588,0,0.0284,0.702,0,0.111,0.629,94.257,61,1981
The One That You Love,Air Supply,4:19,4,0.396,0.479,5,-8.072,1,0.0268,0.728,0.00000951,0.102,0.184,109.973,61,1981
Urgent,Foreigner,4:31,4,0.855,0.803,4,-5.849,0,0.0316,0.342,0.00732,0.0841,0.962,114.867,61,1981
For Your Eyes Only,Sheena Easton,3:04,4,0.244,0.44,7,-7.777,1,0.0475,0.871,0.0000865,0.372,0.113,82.02,60,1981
Step By Step,Eddie Rabbitt,4:27,4,0.787,0.63,0,-12.295,1,0.0609,0.0274,0.00000669,0.161,0.882,125.347,60,1981
Master Blaster (JAMMIN’),Stevie Wonder,5:08,4,0.874,0.419,5,-14.905,0,0.0563,0.0467,0.00051,0.194,0.971,131.159,60,1981
Too Much Time On My Hands,Styx,4:31,4,0.799,0.404,11,-13.597,0,0.0461,0.11,0,0.387,0.893,131.012,59,1981
I Don’t Need You,Kenny Rogers,2:48,4,0.68,0.589,0,-10.01,1,0.0247,0.152,0,0.378,0.696,93.865,58,1981
Queen Of Hearts,Juice Newton,2:51,4,0.717,0.712,0,-6.098,1,0.0765,0.00663,0,0.0756,0.825,97.019,58,1981
(JUST Like) Starting Over,John Lennon,3:56,4,0.701,0.794,9,-6.16,1,0.0757,0.301,0.0000568,0.179,0.409,99.104,56,1981
Ain’t Even Done With The Night,John Cougar,4:39,4,0.791,0.7,11,-6.96,1,0.0297,0.201,0.000312,0.0562,0.8,120.741,56,1981
Cool Love,Pablo Cruise,3:09,4,0.709,0.721,2,-3.52,1,0.0281,0.0322,0.000309,0.355,0.801,112.019,56,1981
Endless Love,Diana Ross & Lionel Richie,4:28,4,0.461,0.275,10,-12.331,1,0.0259,0.745,0.000219,0.126,0.124,93.063,56,1981
Hard To Say,Dan Fogelberg,3:41,4,0.537,0.417,4,-7.209,1,0.0273,0.695,0.00000186,0.151,0.256,144.716,56,1981
Watching The Wheels,John Lennon,3:59,4,0.607,0.612,0,-8.666,1,0.0523,0.408,0.0000052,0.32,0.272,82.935,56,1981
Lady (YOU Bring Me Up),Commodores,4:53,4,0.892,0.593,0,-9.429,0,0.0405,0.2,0.000339,0.0996,0.867,120.979,55,1981
The Tide Is High,Blondie,3:53,4,0.778,0.667,11,-7.273,1,0.0258,0.0514,0.0312,0.092,0.964,96.954,55,1981
Being With You,Smokey Robinson,4:06,4,0.649,0.434,0,-9.529,0,0.0267,0.764,0.00000244,0.0822,0.572,108.754,54,1981
What Kind Of Fool,Barbra Streisand & Barry Gibb,4:05,4,0.511,0.245,2,-16.755,1,0.0396,0.39,0,0.401,0.143,79.88,54,1981
While You See A Chance,Steve Winwood,5:12,4,0.602,0.732,2,-8.29,1,0.0282,0.36,0.000314,0.0755,0.411,129.355,54,1981
All Those Years Ago,George Harrison,3:47,4,0.557,0.609,2,-7.038,1,0.0308,0.14,0.0000292,0.0734,0.514,125.632,52,1981
The Best Of Times,Styx,4:17,4,0.341,0.324,0,-11.864,1,0.025,0.13,0.00000111,0.134,0.321,78.662,52,1981
I Can’t Stand It,Eric Clapton,2:43,4,0.577,0.915,4,-7.305,1,0.101,0.441,0,0.156,0.544,94.729,49,1981
More Than I Can Say,Leo Sayer,3:40,4,0.728,0.511,10,-11.178,1,0.0233,0.198,0.00052,0.322,0.714,96.406,48,1981
A Woman Needs Love (JUST Like You Do),"Ray Parker, Jr. & Raydio",4:09,4,0.744,0.376,6,-14.937,0,0.0395,0.479,0.0000386,0.254,0.696,91.113,47,1981
Her Town Too,James Taylor & J.D. Souther,4:34,4,0.706,0.403,2,-15.017,1,0.0277,0.18,0,0.0975,0.56,97.381,47,1981
Living Inside Myself,Gino Vannelli,4:23,4,0.409,0.428,11,-13.195,1,0.0412,0.462,0.0000822,0.0687,0.04,119.941,47,1981
Hello Again,Neil Diamond,4:13,4,0.568,0.329,4,-12.395,1,0.0315,0.731,0.0569,0.307,0.434,128.084,46,1981
How ‘BOUT Us,Champaign,4:33,4,0.53,0.519,1,-11.626,1,0.0469,0.514,0.000022,0.0751,0.5,73.286,46,1981
The Night Owls,Little River Band,5:22,4,0.587,0.698,4,-7.789,0,0.03,0.0184,0.00182,0.0875,0.589,126.671,46,1981
A Little In Love,Cliff Richard,3:41,4,0.484,0.34,1,-11.932,0,0.0276,0.798,0.00000613,0.173,0.11,132.716,45,1981
Love On The Rocks,Neil Diamond,3:37,4,0.359,0.193,9,-17.12,0,0.0387,0.889,0.0000421,0.0879,0.156,64.572,45,1981
This Little Girl,Gary U.S. Bonds,3:22,4,0.576,0.9,5,-2.879,0,0.124,0.0118,0,0.628,0.75,75.046,44,1981
When She Was My Girl,Four Tops,3:26,4,0.696,0.593,5,-10.283,1,0.0399,0.203,0.00219,0.0767,0.778,100.346,44,1981
Miss Sun,Boz Scaggs,5:31,4,0.735,0.665,9,-8.426,1,0.028,0.215,0.0596,0.0793,0.729,103.549,43,1981
Sukiyaki,A Taste of Honey,3:09,4,0.415,0.359,7,-11.094,1,0.0334,0.707,0.0000653,0.319,0.404,146.029,43,1981
I Made It Through The Rain,Barry Manilow,4:24,4,0.326,0.312,10,-10.307,1,0.0284,0.678,0.00000116,0.11,0.13,137.115,42,1981
Somebody’s Knockin’,Terri Gibbs,3:01,4,0.699,0.515,11,-10.816,0,0.0299,0.233,0.00000256,0.0888,0.734,95.044,42,1981
Tryin’ To Live My Life Without You (LIVE),Bob Seger & the Silver Bullet Band,4:00,4,0.513,0.904,2,-3.524,1,0.0499,0.0181,0,0.964,0.772,104.767,42,1981
Same Old Lang Syne,Dan Fogelberg,5:15,4,0.457,0.355,0,-12.7,1,0.0284,0.792,0.0000185,0.225,0.291,108.101,41,1981
Gemini Dream,Moody Blues,4:09,4,0.653,0.85,10,-7.507,1,0.0303,0.313,0.0165,0.109,0.974,128.839,39,1981
Share Your Love With Me,Kenny Rogers,3:21,3,0.435,0.311,5,-12.342,1,0.0331,0.528,0.0000559,0.116,0.721,121.414,39,1981
Giving It Up For Your Love,Delbert McClinton,3:46,4,0.76,0.765,0,-9.319,1,0.0352,0.289,0.00000795,0.233,0.868,107.602,37,1981
I Ain’t Gonna Stand For It,Stevie Wonder,4:38,4,0.728,0.432,9,-15.269,1,0.0329,0.000252,0.0111,0.095,0.816,113.593,37,1981
The Boy From New York City,The Manhattan Transfer,3:01,4,0.474,0.895,11,-5.105,1,0.0826,0.688,0,0.194,0.845,149.192,37,1981
It’s My Turn,Diana Ross,3:16,4,0.805,0.75,0,-5.583,1,0.0494,0.0976,0.000055,0.0904,0.923,122.96,36,1981
Theme From Hill Street Blues,Mike Post featuring Larry Carlton,3:13,4,0.657,0.267,3,-15.333,1,0.0288,0.592,0.907,0.077,0.204,97.714,33,1981
What Are We Doin’ In Love,Dottie West with Kenny Rogers,3:04,4,0.562,0.379,1,-8.785,1,0.0293,0.673,0,0.0921,0.306,129.596,31,1981
Who’s Crying Now,Journey,5:39,4,0.346,0.868,9,-5.098,0,0.0413,0.00361,0.000255,0.76,0.429,124.695,30,1981
Jessie’s Girl,Rick Springfield,4:24,4,0.849,0.324,7,-16.319,1,0.0652,0.949,0.455,0.0885,0.661,95.008,28,1981
Theme From The Greatest American Hero (BELIEVE It Or Not),Joey Scarbury,3:14,4,0.523,0.543,2,-12.128,1,0.0358,0.278,0,0.276,0.425,117.397,27,1981
Stars On 45 Medley,Stars on 45,15:29,4,0.617,0.691,7,-11.322,1,0.0947,0.195,0,0.293,0.741,124.187,24,1981
(THERE’S) No Gettin’ Over Me,Ronnie Milsap,3:10,4,0.464,0.749,6,-5.724,0,0.0294,0.136,0.000539,0.312,0.942,201.977,21,1981
